command: /tmp/hctl-verify-maintain-840a/bin/hctl --config /tmp/hctl-verify-maintain-840a/config.yaml --no-probe get models 
run_id: maintain-840a
exit: 0
----- stdout -----
HARNESS       PROVIDER   MODEL                      EFFORT  HOST
codex         custom     o4-mini                    high    api.openai.com
claude        anthropic  claude-opus-4              -       api.anthropic.com
grok          xai        grok-4.5                   -       -
hermes        custom     anthropic/claude-sonnet-4  -       openrouter.ai
opencode      acme       acme/gpt-4.1               -       api.acme.example
pi            sub2api    gpt-5.6-sol                -       api.openai.com
droid         openai     custom:gpt-5-0             -       api.openai.com
cursor-agent  cursor     gpt-5                      -       -
----- stderr -----

