command: /tmp/hctl-verify-proof1/bin/hctl --config /tmp/hctl-verify-proof1/config.yaml --no-probe get harnesses 
run_id: proof1
exit: 0
----- stdout -----
NAME          INSTALLED  VERSION  PROVIDER   MODEL                      HOST               SECRET
codex         no         -        custom     gpt-5.2-codex              api.openai.com     sha256:b6310a05
claude        no         -        anthropic  claude-sonnet-4            api.anthropic.com  sha256:b6310a05
grok          no         -        xai        grok-4.6                   api.x.ai           sha256:b6310a05
hermes        no         -        custom     anthropic/claude-opus-4.6  openrouter.ai      sha256:b6310a05 env:OPENROUTER_API_KEY
opencode      no         -        acme       acme/gpt-5                 api.acme.example   sha256:b6310a05
pi            no         -        sub2api    gpt-5.6-sol                api.openai.com     sha256:b6310a05
droid         no         -        openai     custom:gpt-5-0             api.openai.com     sha256:b6310a05
cursor-agent  no         -        cursor     gpt-5                      -                  -
----- stderr -----

